Train on 100000, validate on 16952 samples.
Train - Epoch 1, loss: 0.26232438386380674
Valid - Epoch 1, loss: 0.5210212572565619
Train - Epoch 2, loss: 0.13810468733131886
Valid - Epoch 2, loss: 0.42465106793239993
Train - Epoch 3, loss: 0.12014136041253805
Valid - Epoch 3, loss: 0.47029975435854693
Train - Epoch 4, loss: 0.10515063008636236
Valid - Epoch 4, loss: 0.48562964609349674
Train - Epoch 5, loss: 0.10209317450374365
Valid - Epoch 5, loss: 0.4762632641168136
Train - Epoch 6, loss: 0.08928174938961864
Valid - Epoch 6, loss: 0.48110230217845934
Train - Epoch 7, loss: 0.08396335323557258
Valid - Epoch 7, loss: 0.48539569473403665
Train - Epoch 8, loss: 0.078809292229563
Valid - Epoch 8, loss: 0.36981660731681537
Train - Epoch 9, loss: 0.07411617342256009
Valid - Epoch 9, loss: 0.45779572341784414
Train - Epoch 10, loss: 0.0716055491939187
Valid - Epoch 10, loss: 0.3694629312088748
Train - Epoch 11, loss: 0.07045457402050495
Valid - Epoch 11, loss: 0.46381746573760263
Train - Epoch 12, loss: 0.06953686022482812
Valid - Epoch 12, loss: 0.3751778031646643
Train - Epoch 13, loss: 0.0686023242455721
Valid - Epoch 13, loss: 0.3311075084456155
Train - Epoch 14, loss: 0.06811627796515822
Valid - Epoch 14, loss: 0.4467516411289151
Train - Epoch 15, loss: 0.06680358035698533
Valid - Epoch 15, loss: 0.4589960817282773
Train - Epoch 16, loss: 0.06686290246978402
Valid - Epoch 16, loss: 0.4093783259743227
Train - Epoch 17, loss: 0.06585901245385409
Valid - Epoch 17, loss: 0.4820692309055407
Train - Epoch 18, loss: 0.06546644369155169
Valid - Epoch 18, loss: 0.4879755934032629
Train - Epoch 19, loss: 0.06547597104638815
Valid - Epoch 19, loss: 0.4273050961646972
Train - Epoch 20, loss: 0.06447471071437001
Valid - Epoch 20, loss: 0.43285686468951545
Train - Epoch 21, loss: 0.06414137165933848
Valid - Epoch 21, loss: 0.4755652491530439
Train - Epoch 22, loss: 0.06371161220118403
Valid - Epoch 22, loss: 0.4776486672272133
Train - Epoch 23, loss: 0.06347168042503297
Valid - Epoch 23, loss: 0.4949506717224447
Train - Epoch 24, loss: 0.06308932339444756
Valid - Epoch 24, loss: 0.4792907716390097
Train - Epoch 25, loss: 0.06284030963793397
Valid - Epoch 25, loss: 0.47390936197502154
Train - Epoch 26, loss: 0.06278130655437708
Valid - Epoch 26, loss: 0.499211938949829
Train - Epoch 27, loss: 0.06232444278001785
Valid - Epoch 27, loss: 0.5102199363399227
Train - Epoch 28, loss: 0.061716815880686046
Valid - Epoch 28, loss: 0.5361151510506939
Train - Epoch 29, loss: 0.061382026828080416
Valid - Epoch 29, loss: 0.45789084740791397
Train - Epoch 30, loss: 0.06031989863239229
Valid - Epoch 30, loss: 0.4628234894981362
Train - Epoch 31, loss: 0.05973795977577567
Valid - Epoch 31, loss: 0.4593203247436937
Train - Epoch 32, loss: 0.058082583085596565
Valid - Epoch 32, loss: 0.47180483889818753
Train - Epoch 33, loss: 0.05753223446547985
Valid - Epoch 33, loss: 0.4077270135617341
Train - Epoch 34, loss: 0.05679046675309539
Valid - Epoch 34, loss: 0.6917549291625619
Train - Epoch 35, loss: 0.0561257655903697
Valid - Epoch 35, loss: 0.46373038159085894
Train - Epoch 36, loss: 0.05535180310159921
Valid - Epoch 36, loss: 0.4704896489017696
Train - Epoch 37, loss: 0.055463356871008875
Valid - Epoch 37, loss: 0.447196823955988
Train - Epoch 38, loss: 0.05807991416193545
Valid - Epoch 38, loss: 0.4656093379869214
Train - Epoch 39, loss: 0.060683276873752474
Valid - Epoch 39, loss: 0.44416848782731116
Train - Epoch 40, loss: 0.053907705641835925
Valid - Epoch 40, loss: 0.4137753017281867
Train - Epoch 41, loss: 0.053846031746417285
Valid - Epoch 41, loss: 0.45325518138706683
Train - Epoch 42, loss: 0.0531848949560523
Valid - Epoch 42, loss: 0.4102233242700404
Train - Epoch 43, loss: 0.05269601538024843
Valid - Epoch 43, loss: 0.49552784314958975
Train - Epoch 44, loss: 0.05254439875587821
Valid - Epoch 44, loss: 0.4432709651226002
