"n, k, d",time,size
"('n = ', '3, k = 2, d = 0.2')",5.684375762939453e-05,11.69
"('n = ', '3, k = 2, d = 0.5')",8.005857467651368e-05,46.83
"('n = ', '3, k = 5, d = 0.2')",0.00010075330734252929,43.15
"('n = ', '3, k = 5, d = 0.5')",0.0001899862289428711,138.92
"('n = ', '3, k = 10, d = 0.2')",0.0001252293586730957,110.26
"('n = ', '3, k = 10, d = 0.5')",0.00033000469207763674,273.57
"('n = ', '4, k = 2, d = 0.2')",9.006738662719726e-05,24.74
"('n = ', '4, k = 2, d = 0.5')",0.00023005247116088866,190.7
"('n = ', '4, k = 5, d = 0.2')",0.00015000343322753905,144.86
"('n = ', '4, k = 5, d = 0.5')",0.0007515549659729004,667.89
"('n = ', '4, k = 10, d = 0.2')",0.0004600024223327637,462.98
"('n = ', '4, k = 10, d = 0.5')",0.0017200279235839843,1452.04
"('n = ', '5, k = 2, d = 0.2')",8.019924163818359e-05,58.06
"('n = ', '5, k = 2, d = 0.5')",0.0007977914810180664,658.67
"('n = ', '5, k = 5, d = 0.2')",0.0005899477005004883,465.13
"('n = ', '5, k = 5, d = 0.5')",0.016509454250335693,2713.28
"('n = ', '5, k = 10, d = 0.2')",0.01493163824081421,1678.27
"('n = ', '5, k = 10, d = 0.5')",0.03342334747314453,5397.29
"('n = ', '6, k = 2, d = 0.2')",0.00013976573944091798,115.87
"('n = ', '6, k = 2, d = 0.5')",0.009205899238586425,2478.88
"('n = ', '6, k = 5, d = 0.2')",0.002027883529663086,1607.38
"('n = ', '6, k = 5, d = 0.5')",0.0315604829788208,12577.4
"('n = ', '6, k = 10, d = 0.2')",0.009183814525604248,7185.6
"('n = ', '6, k = 10, d = 0.5')",0.10406915903091431,26483.6
"('n = ', '7, k = 2, d = 0.2')",0.00045598983764648436,326.19
"('n = ', '7, k = 2, d = 0.5')",0.050800352096557616,9826.85
"('n = ', '7, k = 5, d = 0.2')",0.02146735429763794,6634.28
"('n = ', '7, k = 5, d = 0.5')",0.2320592522621155,45612.83
"('n = ', '7, k = 10, d = 0.2')",0.1763737106323242,30557.43
"('n = ', '7, k = 10, d = 0.5')",0.5687379622459412,105748.26
"('n = ', '8, k = 2, d = 0.2')",0.007797605991363525,788.86
"('n = ', '8, k = 2, d = 0.5')",0.12046238660812378,31775.59
"('n = ', '8, k = 5, d = 0.2')",0.1787640333175659,27097.57
"('n = ', '8, k = 5, d = 0.5')",1.0361842370033265,183274.31
"('n = ', '8, k = 10, d = 0.2')",0.7216489410400391,120115.51
"('n = ', '8, k = 10, d = 0.5')",2.726497573852539,459743.84
"('n = ', '9, k = 2, d = 0.2')",0.0034891557693481445,2531.95
"('n = ', '9, k = 2, d = 0.5')",0.7410864353179931,141651.38
"('n = ', '9, k = 5, d = 0.2')",0.5443727779388428,88772.02
"('n = ', '9, k = 5, d = 0.5')",5.673622696399689,794950.74
"('n = ', '9, k = 10, d = 0.2')",3.0505844449996946,438814.18
"('n = ', '9, k = 10, d = 0.5')",15.553573007583617,1888258.69
"('n = ', '10, k = 2, d = 0.2')",0.0539719557762146,6811.59
"('n = ', '10, k = 2, d = 0.5')",3.2518761348724365,594542.05
"('n = ', '10, k = 5, d = 0.2')",1.8714035892486571,349838.97
"('n = ', '10, k = 5, d = 0.5')",20.97406695842743,3252010.84
"('n = ', '10, k = 10, d = 0.2')",13.167408938407897,1916857.49
"('n = ', '10, k = 10, d = 0.5')",53.17922978639603,7420427.36
